millis,DID,data_hex,u16be
8139,0x1051,00 00,0
8144,0x8004,00 01,1
8150,0x8021,00 80,128
8154,0x8031,00 80,128
9442,0x0,00 77,119
9454,0x1,00 04,4
9458,0x2,02 52,594
9463,0x3,03 F5,1013
9468,0x4,02 F1,753
9472,0x5,C8 32,51250
9477,0x6,01 EF,495
9482,0x7,00 76,118
9488,0x8,02 D9,729
9493,0x9,00 33,51
9498,0x10,02 D8,728
9503,0x11,00 33,51
9508,0x12,03 FF,1023
9517,0x28,00 7A,122
9522,0x29,00 00,0
9528,0x30,01 20,288
9542,0x31,00 00,0
9547,0x34,01 2B,299
9551,0x35,00 04,4
9556,0x38,00 66,102
9561,0x39,00 00,0
9567,0x41,00 00,0
9572,0x42,00 FF,255
9577,0x44,00 00,0
9582,0x60,00 00,0
9587,0x61,00 FF,255
9592,0x64,00 00,0
9596,0x70,00 1A,26
9601,0x71,00 04,4
9607,0x72,01 F1,497
9612,0x73,00 76,118
9617,0x76,00 CD,205
9631,0x77,00 00,0
9634,0x100,00 00,0
9641,0x102,80 00,32768
9645,0x107,00 00,0
9651,0x108,1F 20,7968
9656,0x110,00 00,0
9661,0x120,00 80,128
9666,0x122,00 80,128
9671,0x130,00 00,0
9675,0x132,00 00,0
9680,0x140,80 84,32900
9686,0x151,80 C2,32962
9692,0x166,80 C2,32962
9697,0x168,81 BB,33211
9702,0x471,00 FF,255
9707,0x601,00 FF,255
9720,0x608,01 20,288
9725,0x610,00 DD,221
9730,0x611,01 64,356
9735,0x612,01 EA,490
9740,0x613,02 70,624
9745,0x614,02 F7,759
9750,0x615,03 7D,893
9755,0x620,79 9A,31130
9759,0x621,79 9A,31130
9767,0x622,79 9A,31130
9772,0x623,79 9A,31130
9777,0x624,79 9A,31130
9782,0x625,79 9A,31130
9787,0x626,79 9A,31130
9792,0x627,79 9A,31130
9796,0x628,79 9A,31130
9808,0x629,75 C3,30147
9814,0x640,AC CD,44237
9818,0x641,59 40,22848
9823,0x642,00 02,2
9828,0x643,00 00,0
9833,0x801,00 1A,26
9837,0x802,90 44,36932
9842,0x803,00 5E,94
9847,0x1000,00 00,0
9853,0x1001,00 00,0
9858,0x1002,00 00,0
9863,0x1004,00 00,0
9868,0x1005,00 00,0
9873,0x1007,00 00,0
9877,0x1009,00 00,0
9882,0x1011,00 00,0
9897,0x1013,00 00,0
9903,0x1014,00 00,0
9907,0x1020,00 00,0
9912,0x1028,00 00,0
9917,0x1030,00 00,0
9921,0x1033,00 00,0
9926,0x1040,00 00,0
9932,0x1041,00 00,0
9937,0x1042,00 00,0
9943,0x1043,00 00,0
9948,0x1044,00 00,0
9953,0x1045,00 00,0
9958,0x1046,00 00,0
9962,0x1047,00 00,0
9967,0x1048,00 00,0
9973,0x1049,00 00,0
9986,0x1050,00 00,0
9991,0x1051,00 00,0
9995,0x8004,00 01,1
9999,0x8021,00 80,128
10004,0x8031,00 80,128
11295,0x0,00 77,119
11308,0x1,00 04,4
11312,0x2,02 52,594
11318,0x3,03 F5,1013
11325,0x4,02 F1,753
11329,0x5,C8 32,51250
11334,0x6,01 EF,495
11339,0x7,00 76,118
11343,0x8,02 D9,729
11348,0x9,00 33,51
11353,0x10,02 D7,727
11359,0x11,00 34,52
11364,0x12,03 FF,1023
11374,0x28,00 7A,122
11379,0x29,00 00,0
11383,0x30,01 20,288
11398,0x31,00 00,0
11403,0x34,01 2B,299
11408,0x35,00 04,4
11413,0x38,00 66,102
11418,0x39,00 00,0
11422,0x41,00 00,0
11427,0x42,00 FF,255
11432,0x44,00 00,0
11438,0x60,00 00,0
11443,0x61,00 FF,255
11448,0x64,00 00,0
11453,0x70,00 1A,26
11460,0x71,00 04,4
11463,0x72,01 F1,497
11468,0x73,00 76,118
11473,0x76,00 CD,205
11488,0x77,00 00,0
11493,0x100,00 00,0
11498,0x102,80 00,32768
11503,0x107,00 00,0
11507,0x108,1F 1C,7964
11512,0x110,00 00,0
11518,0x120,00 80,128
11523,0x122,00 80,128
11528,0x130,00 00,0
11533,0x132,00 00,0
11538,0x140,80 84,32900
11543,0x151,80 C2,32962
11547,0x166,80 C2,32962
11552,0x168,81 BB,33211
11558,0x471,00 FF,255
11564,0x601,00 FF,255
11579,0x608,01 20,288
11584,0x610,00 DD,221
11590,0x611,01 64,356
11595,0x612,01 EA,490
11601,0x613,02 70,624
11607,0x614,02 F7,759
11612,0x615,03 7D,893
11617,0x620,79 9A,31130
11622,0x621,79 9A,31130
11626,0x622,79 9A,31130
11631,0x623,79 9A,31130
11636,0x624,79 9A,31130
11642,0x625,79 9A,31130
11648,0x626,79 9A,31130
11652,0x627,79 9A,31130
11657,0x628,79 9A,31130
11671,0x629,75 C3,30147
11676,0x640,AC CD,44237
11682,0x641,59 40,22848
11687,0x642,00 02,2
11692,0x643,00 00,0
11697,0x801,00 1A,26
11702,0x802,9A 81,39553
11707,0x803,00 5E,94
11713,0x1000,00 00,0
11718,0x1001,00 00,0
11724,0x1002,00 00,0
11729,0x1004,00 00,0
11735,0x1005,00 00,0
11740,0x1007,00 00,0
11745,0x1009,00 00,0
11749,0x1011,00 00,0
11765,0x1013,00 00,0
11770,0x1014,00 00,0
11774,0x1020,00 00,0
11779,0x1028,00 00,0
11784,0x1030,00 00,0
11788,0x1033,00 00,0
11793,0x1040,00 00,0
11798,0x1041,00 00,0
11804,0x1042,00 00,0
11809,0x1043,00 00,0
11814,0x1044,00 00,0
11820,0x1045,00 00,0
11825,0x1046,00 00,0
11829,0x1047,00 00,0
11834,0x1048,00 00,0
11844,0x1049,00 00,0
11856,0x1050,00 00,0
